HTML,CSS,JavaScript,Node.js,React.js,Angular,Vue.js,Python,SQL,MongoDB,Java,C++,C#,PHP,Ruby,Swift,Kotlin,Go,TypeScript,Express.js,Django,Flask,Spring,.NET,Docker,Kubernetes,AWS,Azure,GCP,GraphQL,RESTful APIs,Machine Learning,Data Analysis,UI/UX Design,Testing,Agile,DevOps,Security,Database Admin,Mobile Dev (Android),Mobile Dev (iOS),Game Dev,Embedded Systems,Blockchain,PowerBI,Tableau,Git,Selenium,Communication,Leadership,Teamwork,ProblemSolving,TimeManagement,CriticalThinking,Adaptability,Creativity,AttentionToDetail,Presentation,Negotiation,ConflictResolution,Empathy,DecisionMaking,StressManagement,Experience,YearsOfCoding,NumberOfProjects,GitHubContributions,StackOverflowReputation,Education,Certification,PreferredRole,SalaryExpectation
4,1,1,4,0,2,2,0,4,0,4,2,4,1,1,4,5,1,1,4,2,4,2,2,4,2,5,1,5,2,3,3,0,3,2,5,5,0,3,5,3,2,4,1,3,2,2,0,4,5,3,5,5,5,3,5,4,4,4,5,5,4,4,7.2,10,21,936,1209,High School,0,Backend Developer,100422
1,3,2,3,1,1,3,4,1,0,4,3,5,0,0,1,2,0,2,0,1,3,5,3,2,3,1,3,0,4,4,1,3,3,4,2,4,1,0,1,5,5,5,1,2,4,0,4,4,5,5,5,5,5,4,4,3,4,3,4,4,3,5,6.9,4,33,327,1379,High School,0,Backend Developer,120094
5,2,2,4,1,5,5,5,2,4,0,4,0,3,2,1,4,1,1,4,0,2,4,5,5,3,0,5,0,1,5,3,1,4,5,0,2,1,3,4,1,1,4,3,1,5,0,4,3,4,4,4,4,4,3,5,4,4,4,4,3,3,4,6.6,5,21,552,1258,Master's,0,Machine Learning Engineer,135746
3,1,4,5,4,0,4,3,0,4,1,1,3,2,4,2,2,5,1,1,2,5,0,4,5,1,5,0,1,4,3,0,2,0,3,5,2,3,5,1,2,4,2,1,3,0,4,0,5,5,5,4,4,3,3,4,3,5,4,3,5,3,3,7.7,11,23,1037,1614,PhD,0,Mobile Developer,84619
1,5,4,2,4,4,0,4,2,1,4,4,2,4,3,5,0,2,1,2,5,2,4,0,0,5,4,3,2,1,1,5,5,3,5,5,4,2,2,1,1,3,0,0,4,1,1,4,4,3,3,3,3,3,5,5,3,4,3,5,5,3,3,1.0,2,7,123,593,PhD,1,Security Engineer,50000
4,5,2,5,3,1,0,2,1,2,5,0,5,3,3,0,0,0,4,2,1,2,1,1,1,4,3,4,3,4,1,2,1,1,4,5,1,2,4,5,5,0,3,1,2,5,1,1,3,3,4,5,3,5,3,3,4,5,4,4,3,4,4,0.4,1,10,52,392,Associate's,1,Software Engineer,78354
4,1,4,2,0,3,0,2,4,5,4,1,2,2,5,4,5,3,2,5,4,3,3,4,3,5,2,5,0,5,4,2,2,1,4,0,5,1,2,3,5,0,5,4,2,0,1,4,4,4,3,5,3,5,4,3,4,5,3,4,5,4,3,1.8,1,12,242,633,PhD,0,Data Scientist,94034
5,2,2,2,3,5,1,1,5,1,3,0,4,0,3,5,4,4,5,4,5,1,2,4,5,0,5,3,5,0,2,4,2,5,0,2,2,3,1,1,1,3,1,4,4,0,3,4,5,3,3,3,5,5,4,5,5,3,4,4,3,5,4,3.6,2,13,282,230,Master's,1,Data Analyst,81276
0,2,5,3,0,4,1,3,2,0,1,2,5,4,1,4,5,0,1,1,2,3,1,1,1,0,3,5,2,1,3,3,0,0,0,1,3,4,1,5,0,3,1,4,3,2,5,5,5,4,4,4,3,4,4,4,3,4,5,4,3,5,5,3.2,0,13,379,406,PhD,1,Data Analyst,57820
3,2,5,2,2,3,5,0,2,2,0,3,2,0,3,4,0,0,0,1,1,5,5,5,5,5,5,5,5,0,0,2,5,0,2,2,0,5,3,5,1,4,0,4,4,0,5,3,5,5,3,3,4,3,5,3,5,5,5,5,5,3,5,3.4,1,27,547,487,PhD,0,Software Engineer,72692
5,5,1,4,4,1,0,4,2,0,2,5,3,4,0,4,4,3,3,0,2,4,2,5,1,5,4,4,4,2,2,1,4,5,1,0,1,0,2,1,3,3,2,3,4,1,1,3,5,3,5,5,4,4,4,3,3,3,3,3,5,3,4,4.1,5,15,425,1442,Bachelor's,0,DevOps Engineer,83163
0,3,1,2,2,1,3,3,2,0,5,0,4,1,0,3,0,5,0,1,1,2,2,5,0,4,3,5,4,3,5,5,1,0,2,1,1,2,0,4,2,0,0,4,1,1,5,0,3,3,3,4,4,3,4,3,4,3,5,5,3,3,4,8.6,7,31,831,870,Bachelor's,0,Data Scientist,93272
3,3,0,0,4,4,2,1,4,1,5,4,1,3,1,0,3,0,4,2,5,3,2,5,0,4,4,0,5,1,4,1,0,5,5,5,4,3,5,2,5,2,5,5,3,5,0,5,4,4,3,4,3,5,3,5,4,5,3,4,5,4,3,3.4,3,22,611,899,PhD,0,Security Engineer,88926
1,1,4,4,4,4,4,0,2,1,3,2,1,3,1,4,0,2,3,3,4,5,0,5,1,2,5,0,2,3,5,1,5,4,4,5,0,1,2,0,1,4,1,2,4,3,0,5,3,5,4,4,5,4,3,3,5,4,4,4,4,5,5,8.7,9,30,468,1738,High School,0,Software Engineer,129058
5,0,0,3,4,1,4,1,2,4,3,1,5,2,3,5,3,0,5,3,1,3,5,0,4,5,3,3,4,3,5,1,1,1,4,2,0,3,2,5,0,2,0,0,0,1,3,2,3,5,3,3,3,5,3,3,3,4,5,3,4,5,3,6.4,5,22,744,1298,Bachelor's,0,Security Engineer,94991
0,5,4,1,1,4,5,3,1,5,3,3,2,4,3,4,4,3,3,4,1,4,1,0,1,3,5,0,1,2,5,1,5,3,1,5,1,0,5,3,4,5,3,4,3,4,2,1,5,3,4,5,4,3,4,5,5,4,5,3,5,5,5,4.7,4,28,532,749,Associate's,1,Data Analyst,93576
4,4,3,3,5,1,3,5,3,5,1,3,0,5,3,0,0,1,1,4,5,5,5,4,2,3,5,4,4,3,1,3,3,1,4,0,3,3,0,4,2,4,0,5,1,0,4,1,5,3,5,3,5,3,4,4,3,4,3,4,5,3,3,8.7,12,27,995,1428,High School,0,Backend Developer,114211
5,0,3,0,5,3,1,0,4,5,1,3,4,3,5,0,0,2,3,4,2,5,0,2,0,0,3,3,2,5,1,5,1,0,5,4,0,5,1,1,0,5,3,3,2,4,3,2,3,3,3,5,5,3,4,3,5,3,3,4,3,3,5,5.3,5,25,746,1241,PhD,1,Backend Developer,102943
3,4,1,0,2,3,3,4,2,5,1,0,5,1,5,0,0,4,0,0,1,3,1,0,2,1,0,2,1,3,2,3,3,0,5,5,0,2,3,1,0,4,3,3,4,1,2,4,4,4,4,3,3,4,5,3,3,3,5,5,4,3,5,7.1,6,21,553,936,Master's,1,Backend Developer,109020
3,2,5,0,5,4,3,5,4,4,1,2,5,2,3,4,3,2,0,4,3,4,5,1,4,3,3,1,5,3,5,5,4,0,4,1,5,1,0,2,0,4,1,1,4,3,0,2,4,5,3,5,5,5,5,4,4,3,3,3,3,3,4,-2.9,0,-1,484,854,Bachelor's,0,Full-Stack Developer,50000
1,2,3,2,1,5,0,4,4,2,2,1,2,4,0,2,3,0,1,5,4,2,3,4,1,4,2,1,0,1,3,1,1,5,1,3,5,0,0,3,3,1,4,4,4,3,4,1,5,5,4,4,5,3,4,3,4,3,5,3,5,3,5,12.0,10,41,930,1428,Associate's,0,Data Scientist,141989
1,4,5,4,1,0,3,2,2,2,5,5,1,4,3,4,5,2,4,2,3,2,2,3,3,0,0,0,4,0,2,3,4,3,0,5,4,5,1,0,2,3,5,1,3,3,1,3,5,5,5,4,5,3,4,3,3,3,4,4,5,4,4,0.6,0,12,359,836,Bachelor's,0,Backend Developer,91145
3,2,5,3,5,5,5,3,4,4,5,2,0,1,3,4,3,3,5,4,2,3,3,1,0,5,0,1,3,5,5,5,1,5,5,1,2,0,5,1,3,5,0,5,0,3,2,0,3,3,3,4,4,5,3,3,4,4,4,3,5,4,5,7.7,9,24,483,1757,Bachelor's,1,Backend Developer,98704
0,5,0,1,1,4,1,0,4,1,5,5,4,5,0,5,4,5,1,4,5,4,0,5,5,3,4,2,2,1,4,1,2,2,5,5,3,1,2,3,4,4,2,3,2,3,4,3,3,5,3,5,5,4,5,4,5,5,4,3,3,4,4,6.1,5,18,453,944,PhD,0,Frontend Developer,118453
0,1,5,4,3,2,1,5,1,1,4,4,1,3,2,0,3,1,4,5,4,2,1,0,5,2,3,4,3,0,4,5,0,1,2,3,4,5,4,0,4,2,3,1,4,5,0,4,5,4,3,5,4,4,4,4,3,3,5,3,4,5,5,2.1,0,25,383,946,Master's,0,Security Engineer,50000
5,5,2,4,4,2,0,3,1,5,2,5,1,5,3,3,2,2,5,3,5,4,5,3,2,3,5,4,0,5,0,2,1,3,4,0,1,1,1,0,4,3,3,3,4,5,4,2,5,3,3,4,5,3,5,3,5,5,4,3,3,5,4,1.7,0,13,452,522,PhD,1,Data Scientist,86626
1,2,0,1,4,5,0,0,4,4,5,0,4,3,5,3,1,1,0,3,1,1,2,0,5,2,5,0,3,4,0,2,5,4,1,5,4,5,4,5,4,4,2,4,2,4,3,2,3,4,4,3,4,3,4,3,5,5,4,5,5,4,5,6.6,6,33,400,1195,PhD,1,Frontend Developer,117242
4,2,1,2,5,5,2,1,3,5,1,4,5,3,1,2,5,3,0,2,0,1,2,5,5,5,3,2,1,0,3,4,1,1,0,4,0,1,0,5,5,0,3,3,4,0,3,3,3,3,3,4,5,4,5,4,3,5,4,5,4,4,5,6.5,8,26,402,1644,Bachelor's,1,Software Engineer,70273
2,0,2,5,5,1,2,2,3,4,0,4,2,3,2,4,1,0,3,5,5,5,5,4,0,3,1,1,2,4,0,5,3,5,4,4,4,2,4,1,0,1,0,3,5,3,4,1,5,5,5,5,5,5,5,3,4,4,4,5,3,3,3,5.8,2,31,411,1052,Associate's,0,Frontend Developer,98527
4,2,3,5,4,2,0,0,1,3,0,2,2,3,5,4,1,4,0,2,0,1,1,2,2,5,3,5,4,5,4,2,3,1,5,3,4,4,3,3,3,5,1,1,1,0,0,4,4,5,3,3,5,4,5,3,3,3,3,3,3,4,3,5.7,2,33,226,229,Bachelor's,0,Machine Learning Engineer,150322
3,5,4,4,3,5,2,1,3,5,3,0,5,2,5,2,0,4,2,2,1,4,4,5,2,5,0,2,1,1,2,0,5,2,2,0,4,4,4,0,4,1,5,1,0,2,3,0,5,4,5,3,5,5,4,5,4,3,5,3,5,5,4,2.2,0,17,90,475,PhD,0,Software Engineer,71630
4,3,1,1,0,5,5,1,4,2,2,2,5,1,1,2,2,1,2,0,1,1,3,1,1,2,1,4,2,0,3,3,2,0,2,2,1,4,4,2,4,1,2,5,3,1,1,0,3,5,4,3,5,3,5,4,3,3,5,3,5,3,3,-1.1,0,1,10,638,Bachelor's,0,Security Engineer,55582
5,2,1,1,0,4,3,4,5,2,5,5,4,2,1,0,2,5,4,3,5,0,2,0,2,3,3,3,3,4,5,4,1,5,3,0,2,0,1,0,5,1,0,0,1,5,2,0,4,4,5,5,4,4,3,3,4,5,4,3,3,4,4,10.7,10,49,794,1505,PhD,0,Software Engineer,97483
3,4,0,4,1,3,0,4,1,4,4,4,4,1,0,2,3,0,3,1,0,4,4,0,2,2,3,1,3,0,1,0,5,3,0,2,3,0,0,1,5,1,1,5,4,4,1,1,4,4,3,5,4,5,3,4,3,5,3,5,5,5,3,5.3,5,18,315,656,Master's,0,Data Scientist,124641
2,3,1,3,3,3,2,0,3,1,4,2,4,1,4,2,3,4,4,5,4,2,1,5,2,3,2,0,0,2,2,3,4,3,2,1,5,0,3,0,3,1,0,4,0,4,1,3,5,3,3,5,4,3,5,4,5,4,3,5,3,4,4,4.1,0,22,91,708,Bachelor's,0,Data Scientist,104198
5,0,0,2,1,4,3,1,5,2,3,4,2,0,0,0,1,0,3,0,3,0,2,3,0,5,2,3,0,5,5,3,0,4,0,3,4,5,5,2,1,1,0,1,3,0,5,2,4,3,5,3,4,5,5,5,4,5,3,4,5,4,3,7.9,7,25,717,1042,Master's,0,Security Engineer,82597
0,0,3,4,3,1,1,3,4,1,2,5,1,4,4,5,2,0,5,5,0,5,4,3,4,1,2,4,5,2,2,1,1,2,1,5,3,3,3,4,5,5,5,2,0,4,1,4,3,5,5,3,3,5,3,3,4,5,4,5,4,4,4,4.9,5,31,377,581,Master's,1,Software Engineer,89422
2,1,3,2,3,0,1,3,0,1,5,2,4,3,5,1,2,5,0,4,4,2,1,4,4,3,1,5,3,4,2,2,3,3,5,3,2,5,5,3,1,1,0,1,1,3,5,5,4,4,3,3,5,3,3,5,4,3,4,3,4,4,3,1.7,1,19,383,607,High School,0,Machine Learning Engineer,74049
3,0,5,1,5,5,4,5,3,1,3,3,2,0,4,1,5,5,1,1,2,3,0,2,1,1,0,2,1,5,5,0,4,0,1,3,5,1,0,3,4,3,5,1,0,0,3,2,3,4,4,4,5,3,4,4,5,5,4,5,5,5,5,0.1,0,6,86,897,Master's,1,DevOps Engineer,60877
4,4,1,5,5,2,3,0,3,2,1,1,1,3,0,0,3,4,2,5,3,2,1,2,0,2,1,5,1,3,2,1,5,0,3,1,3,2,5,4,4,1,3,2,2,0,1,1,5,3,3,4,4,3,5,4,4,5,4,4,3,4,4,8.1,11,32,915,1785,Bachelor's,0,Data Scientist,126274
1,0,4,5,2,5,5,0,1,4,4,2,5,0,0,1,4,3,4,1,0,3,0,2,3,0,0,2,3,1,1,2,1,3,2,4,5,2,4,3,0,4,0,4,1,2,0,4,4,5,3,4,4,5,5,5,3,5,4,4,3,3,4,6.6,5,31,642,1147,Bachelor's,0,Frontend Developer,87475
1,1,5,5,1,0,0,2,4,1,4,4,3,5,1,0,3,3,2,2,1,4,2,2,0,0,5,2,4,0,4,3,1,0,1,3,1,0,0,1,4,0,1,2,0,1,0,5,5,5,3,5,5,3,4,5,4,5,4,4,4,4,4,4.4,4,20,250,1331,Bachelor's,0,DevOps Engineer,92687
1,3,2,0,2,1,4,3,0,3,3,0,5,4,5,0,1,2,0,3,2,4,5,3,0,2,5,1,4,5,4,1,5,2,5,3,2,4,0,3,3,2,5,0,0,4,5,3,4,3,3,4,5,3,3,4,3,4,4,4,5,5,3,1.3,1,8,480,290,Master's,0,Software Engineer,95159
2,5,0,5,2,5,2,0,1,2,4,5,4,5,4,2,1,1,4,0,3,3,2,4,5,3,3,4,0,1,0,0,0,0,1,1,2,1,4,1,2,4,4,4,2,2,3,1,4,4,3,4,3,3,3,5,5,3,4,5,4,5,5,6.9,10,37,746,1790,High School,0,Frontend Developer,93422
2,0,1,3,4,4,5,1,0,1,4,4,0,2,3,5,5,0,0,4,0,0,4,3,0,3,4,1,0,4,1,4,0,0,2,3,3,0,5,3,4,3,4,0,0,4,3,1,3,3,5,4,5,3,4,4,4,4,5,4,3,3,4,-0.8,0,-2,0,192,Associate's,0,Frontend Developer,91233
5,4,1,2,3,3,1,4,0,3,0,5,3,1,5,4,4,4,5,2,5,0,3,0,3,3,4,4,4,1,0,2,1,2,4,3,2,1,3,0,2,3,3,0,3,5,2,2,3,4,5,5,4,3,3,4,5,3,5,3,4,5,5,4.2,3,15,238,1058,Associate's,0,Machine Learning Engineer,117059
0,0,3,1,0,4,3,4,0,5,4,5,3,5,0,3,0,4,0,2,4,5,2,1,3,0,5,0,3,0,0,4,1,0,5,0,2,2,4,5,2,3,3,0,4,2,4,0,4,4,4,4,5,3,5,4,5,3,3,5,5,3,4,9.1,6,27,381,978,Master's,0,Frontend Developer,99913
1,5,0,1,5,3,3,5,1,3,4,5,1,5,1,5,3,5,4,3,4,2,0,2,5,3,1,1,3,3,1,2,2,5,1,0,5,4,5,3,5,0,2,3,5,5,4,4,5,4,3,5,5,4,4,5,4,4,5,5,4,3,4,2.3,6,8,512,1189,PhD,0,Data Analyst,88824
4,3,0,2,0,3,2,3,4,3,4,4,5,5,5,3,2,2,0,0,2,5,3,4,5,5,1,3,0,3,4,2,5,4,3,2,1,4,1,2,1,3,1,3,3,5,1,3,5,3,3,5,5,4,4,4,5,4,4,4,3,4,3,5.5,4,33,433,1341,Bachelor's,0,Data Scientist,113767
2,0,0,1,2,0,5,4,1,4,0,1,3,3,4,3,4,4,3,0,5,0,5,4,4,4,1,5,2,3,1,4,2,0,5,1,2,3,2,5,2,4,1,5,4,5,4,4,5,5,5,4,4,5,3,3,3,5,4,4,5,5,3,4.0,7,28,355,928,Bachelor's,0,Data Analyst,66383
4,1,2,3,2,1,4,3,3,5,3,3,1,1,3,4,3,4,2,3,2,3,1,1,2,4,3,0,0,3,5,4,2,2,4,5,0,5,2,5,0,2,0,2,0,5,2,1,3,5,3,3,5,5,5,3,5,4,5,4,5,5,4,6.2,5,24,715,1092,Associate's,0,DevOps Engineer,100068
5,4,5,5,4,2,3,5,4,0,1,4,2,1,1,2,4,1,5,2,2,4,2,4,2,0,3,0,3,3,4,5,2,1,3,0,5,0,5,5,2,1,3,4,1,5,2,4,5,3,4,5,3,5,5,3,3,3,3,3,3,3,4,2.0,3,11,268,688,Master's,0,Software Engineer,76400
4,2,4,3,3,5,3,2,4,2,5,5,3,2,0,5,3,1,2,1,3,3,3,2,4,3,0,4,2,3,3,2,5,5,0,3,1,0,5,5,0,2,2,5,0,5,3,3,3,4,3,5,3,4,5,3,3,5,3,4,4,3,3,1.8,1,7,491,916,Master's,0,Security Engineer,60949
4,2,0,2,1,2,4,4,1,2,4,4,2,1,5,0,3,5,2,0,3,5,4,2,1,3,5,3,1,2,4,5,2,0,5,0,0,4,1,5,0,2,1,3,1,1,5,4,3,3,4,5,4,5,4,3,5,5,3,3,3,5,4,5.0,3,17,204,363,High School,0,Mobile Developer,106608
5,2,3,3,1,4,2,4,0,3,2,5,2,3,3,5,4,4,2,4,2,3,3,4,2,4,1,2,0,3,0,1,2,4,0,1,2,3,2,5,0,0,2,1,5,4,5,4,3,4,3,5,3,5,5,5,5,5,4,5,4,4,4,6.5,7,21,547,847,Associate's,1,DevOps Engineer,95348
4,0,0,3,5,2,4,4,5,5,1,5,0,1,1,1,3,4,3,0,3,0,2,4,5,4,2,1,0,4,3,1,3,1,1,0,2,3,4,2,4,3,0,1,2,2,3,4,4,3,4,3,5,5,3,5,4,4,5,5,4,5,5,4.1,4,28,201,994,Associate's,0,Mobile Developer,90187
5,2,0,0,1,3,1,4,4,2,2,1,5,0,5,2,5,3,2,5,0,1,2,0,5,0,1,5,4,1,3,4,0,2,1,4,5,3,0,3,1,2,2,4,2,1,2,3,3,5,5,5,4,5,4,5,3,5,4,3,3,5,4,9.2,10,29,708,1399,PhD,1,Full-Stack Developer,96388
2,1,2,3,2,0,1,3,3,2,1,5,2,4,1,4,2,3,1,2,0,5,1,3,3,5,4,0,2,5,0,4,3,2,4,1,0,4,5,0,4,4,2,3,1,1,0,4,4,5,4,4,4,5,3,5,5,3,3,4,5,5,5,2.7,2,23,147,910,PhD,0,Backend Developer,77949
3,5,1,0,4,1,1,1,0,4,2,0,2,5,2,1,3,2,1,1,4,0,2,5,3,5,4,2,0,1,4,1,0,1,3,1,5,2,0,2,3,2,0,0,3,3,1,4,4,4,3,5,5,5,5,5,5,5,4,5,3,3,3,-0.3,0,12,326,440,Associate's,0,Frontend Developer,50000
4,3,4,0,4,3,5,4,3,0,1,2,5,4,3,5,0,2,4,2,2,2,3,4,2,3,5,4,1,1,0,3,2,4,1,3,5,1,4,1,5,5,1,5,2,2,3,0,3,5,5,4,3,3,4,3,5,4,5,4,4,5,3,9.8,13,41,1089,1805,High School,0,Full-Stack Developer,105020
3,1,2,3,3,0,3,1,5,0,2,1,0,1,4,2,3,4,1,1,3,4,2,1,4,1,4,3,1,1,4,0,3,4,4,4,2,5,2,3,4,4,4,2,3,3,1,1,5,3,5,4,3,4,4,5,3,5,4,5,5,4,3,8.7,9,33,931,1376,PhD,1,Data Scientist,131473
